Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-08-01,1.3281,679.72,712.97,659.17,708.88,559.77,522.68
2023-08-02,1.3350,667.47,705.93,649.00,698.96,539.84,497.77
2023-08-03,1.3353,684.92,719.69,668.54,715.58,557.26,516.19
2023-08-04,1.3379,696.94,730.48,679.35,729.00,566.17,522.92
2023-08-05,-,-,-,-,-,-,-
2023-08-06,-,-,-,-,-,-,-
2023-08-07,1.3370,689.07,724.39,676.88,726.49,563.77,520.55
2023-08-08,1.3419,699.87,731.77,683.16,733.80,569.64,524.56
2023-08-09,1.3419,712.36,746.29,692.95,737.26,579.85,532.08
2023-08-10,1.3449,700.59,746.27,682.99,723.17,568.79,518.55
2023-08-11,1.3440,703.25,746.70,682.71,732.16,571.54,524.46
2023-08-12,-,-,-,-,-,-,-
2023-08-13,-,-,-,-,-,-,-
2023-08-14,1.3461,698.59,742.23,678.27,721.87,562.27,512.91
2023-08-15,1.3498,687.60,731.37,667.31,705.94,545.48,493.61
2023-08-16,1.3533,675.68,732.37,653.21,692.37,531.06,478.89
2023-08-17,1.3546,684.94,729.71,657.50,701.81,529.27,474.49
2023-08-18,1.3553,692.62,729.45,666.45,710.78,540.29,486.41
2023-08-19,-,-,-,-,-,-,-
2023-08-20,-,-,-,-,-,-,-
2023-08-21,1.3544,687.65,735.61,661.24,705.54,535.16,481.32
2023-08-22,1.3550,684.80,727.58,658.55,702.87,532.41,478.55
2023-08-23,1.3526,676.27,715.36,643.94,691.58,512.92,453.45
2023-08-24,1.3582,680.86,716.96,648.49,696.33,508.38,445.08
2023-08-25,1.3601,688.49,728.78,658.03,705.94,517.73,454.34
2023-08-26,-,-,-,-,-,-,-
2023-08-27,-,-,-,-,-,-,-
2023-08-28,1.3599,688.22,728.67,656.40,704.30,516.12,452.74
2023-08-29,-,-,-,-,-,-,-
2023-08-30,-,-,-,-,-,-,-
2023-08-31,-,-,-,-,-,-,-
,1.3473,689.00,729.13,666.21,712.23,545.39,494.58
