Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-06-01,1.3449,592.99,627.16,562.79,605.93,482.00,451.55
2023-06-02,1.3425,605.78,642.68,577.83,616.25,498.03,468.39
2023-06-03,-,-,-,-,-,-,-
2023-06-04,-,-,-,-,-,-,-
2023-06-05,1.3445,610.15,645.83,582.32,618.27,506.64,479.66
2023-06-06,1.3403,604.78,640.28,579.16,609.93,503.28,477.07
2023-06-07,1.3370,609.94,642.90,585.47,617.42,512.31,488.00
2023-06-08,1.3357,598.93,632.28,576.67,608.59,505.25,482.74
2023-06-09,1.3340,588.77,626.86,572.16,607.40,495.80,471.72
2023-06-10,-,-,-,-,-,-,-
2023-06-11,-,-,-,-,-,-,-
2023-06-12,1.3368,564.36,604.89,544.85,580.59,464.97,439.75
2023-06-13,1.3318,581.52,621.14,567.95,606.90,481.66,456.70
2023-06-14,1.3324,572.14,616.47,567.03,617.31,479.03,453.39
2023-06-15,1.3223,587.35,627.60,583.02,628.77,491.95,467.17
2023-06-16,1.3200,595.96,632.24,593.13,638.80,502.22,477.48
2023-06-17,-,-,-,-,-,-,-
2023-06-18,-,-,-,-,-,-,-
2023-06-19,1.3210,596.41,630.89,593.58,639.28,502.60,477.84
2023-06-20,1.3235,586.88,626.84,588.96,634.75,499.47,475.42
2023-06-21,1.3164,598.47,635.90,583.07,629.85,509.79,485.86
2023-06-22,1.3151,572.49,613.27,556.52,603.26,483.32,459.41
2023-06-23,1.3183,570.98,614.84,554.97,610.94,482.42,461.11
2023-06-24,-,-,-,-,-,-,-
2023-06-25,-,-,-,-,-,-,-
2023-06-26,1.3155,573.98,616.10,557.02,612.87,484.62,463.36
2023-06-27,1.3192,561.74,602.90,542.91,590.62,466.57,443.67
2023-06-28,1.3258,580.06,615.17,559.38,607.33,482.66,459.65
2023-06-29,1.3252,582.30,619.64,561.21,611.22,486.20,462.94
2023-06-30,1.3242,588.36,630.34,567.12,617.09,494.24,471.92
,1.3285,587.47,625.74,570.78,614.24,491.59,467.04
