Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-08-01,-,-,-,-,-,-,-
2019-08-02,1.3207,462,509,444,484,358,320
2019-08-03,-,-,-,-,-,-,-
2019-08-04,-,-,-,-,-,-,-
2019-08-05,1.3204,454,499,439,480,349,311
2019-08-06,1.3281,448,488,433,468,342,304
2019-08-07,1.3303,428,478,414,446,323,287
2019-08-08,1.3227,437,478,417,448,331,296
2019-08-09,1.3222,453,483,430,462,350,319
2019-08-10,-,-,-,-,-,-,-
2019-08-11,-,-,-,-,-,-,-
2019-08-12,1.3239,457,485,425,465,367,346
2019-08-13,1.3223,475,506,443,483,383,361
2019-08-14,1.3319,463,493,428,468,369,346
2019-08-15,1.3313,456,487,426,465,362,341
2019-08-16,1.3269,458,490,425,464,357,336
2019-08-17,-,-,-,-,-,-,-
2019-08-18,-,-,-,-,-,-,-
2019-08-19,1.3324,471,499,440,481,377,358
2019-08-20,1.3319,472,502,438,479,363,337
2019-08-21,1.3291,466,504,431,471,356,330
2019-08-22,1.3303,462,499,428,465,353,328
2019-08-23,1.3283,452,487,416,456,343,318
2019-08-24,-,-,-,-,-,-,-
2019-08-25,-,-,-,-,-,-,-
2019-08-26,1.3254,447,486,413,454,341,316
2019-08-27,1.3283,459,499,428,467,363,345
2019-08-28,1.3306,467,502,437,476,372,354
2019-08-29,1.3287,474,506,441,479,377,360
2019-08-30,-,-,-,-,-,-,-
2019-08-31,-,-,-,-,-,-,-
,1.3273,458,494,430,468,357,331
