Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-04-01,1.2548,485,506,468,505,405,367
2021-04-02,-,-,-,-,-,-,-
2021-04-03,-,-,-,-,-,-,-
2021-04-04,-,-,-,-,-,-,-
2021-04-05,1.2525,462,484,445,478,385,345
2021-04-06,1.2566,469,489,448,480,390,351
2021-04-07,1.2609,474,495,448,475,392,353
2021-04-08,1.2562,471,497,447,473,389,352
2021-04-09,1.2530,468,494,444,470,387,350
2021-04-10,-,-,-,-,-,-,-
2021-04-11,-,-,-,-,-,-,-
2021-04-12,1.2563,472,496,447,473,390,353
2021-04-13,1.2535,474,502,449,472,391,355
2021-04-14,1.2521,497,520,460,493,409,371
2021-04-15,1.2543,501,525,466,492,409,368
2021-04-16,1.2508,497,523,460,485,405,363
2021-04-17,-,-,-,-,-,-,-
2021-04-18,-,-,-,-,-,-,-
2021-04-19,1.2535,500,528,464,489,408,366
2021-04-20,1.2609,495,523,465,485,402,364
2021-04-21,1.2497,482,507,448,472,386,349
2021-04-22,1.2507,483,512,453,477,391,352
2021-04-23,1.2476,488,513,457,481,394,356
2021-04-24,-,-,-,-,-,-,-
2021-04-25,-,-,-,-,-,-,-
2021-04-26,1.2398,483,508,450,475,388,350
2021-04-27,1.2399,491,514,459,483,399,362
2021-04-28,1.2314,495,515,464,487,400,363
2021-04-29,1.2283,502,525,474,497,412,376
2021-04-30,1.2287,491,514,462,484,398,362
,1.2495,485,509,456,482,397,358
