Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2022-05-01,-,-,-,-,-,-,-
2022-05-02,1.2880,852.01,867.89,840.35,897.05,751.23,714.78
2022-05-03,1.2841,827.14,858.48,816.24,879.64,727.39,694.84
2022-05-04,1.2747,864.38,887.07,850.91,920.26,759.11,727.52
2022-05-05,1.2834,873.91,904.99,859.22,932.68,765.98,736.44
2022-05-06,1.2875,888.93,924.32,876.70,948.37,780.74,749.16
2022-05-07,-,-,-,-,-,-,-
2022-05-08,-,-,-,-,-,-,-
2022-05-09,1.3011,843.65,864.03,825.65,894.39,720.08,686.20
2022-05-10,1.3027,817.41,835.35,808.97,874.93,701.63,666.15
2022-05-11,1.2992,863.83,881.48,856.40,927.08,745.67,710.86
2022-05-12,1.3046,870.87,889.33,881.70,948.17,763.54,730.63
2022-05-13,1.2929,898.52,910.55,907.62,965.36,789.30,757.42
2022-05-14,-,-,-,-,-,-,-
2022-05-15,-,-,-,-,-,-,-
2022-05-16,1.2846,922.72,928.62,926.84,986.23,808.88,777.04
2022-05-17,1.2811,905.71,919.08,875.49,948.01,767.51,736.81
2022-05-18,1.2890,888.51,895.16,858.83,931.80,750.19,720.68
2022-05-19,1.2825,905.16,907.66,871.69,940.25,761.58,731.33
2022-05-20,1.2840,914.46,922.53,883.12,951.77,773.29,743.16
2022-05-21,-,-,-,-,-,-,-
2022-05-22,-,-,-,-,-,-,-
2022-05-23,1.2767,907.73,915.52,877.30,945.56,768.09,738.14
2022-05-24,1.2819,903.21,918.28,871.76,928.20,752.83,726.06
2022-05-25,1.2816,907.51,922.58,876.15,932.58,761.28,736.21
2022-05-26,1.2773,916.60,945.44,898.92,955.16,784.44,759.45
2022-05-27,1.2724,920.92,950.85,905.08,961.10,777.03,746.13
2022-05-28,-,-,-,-,-,-,-
2022-05-29,-,-,-,-,-,-,-
2022-05-30,1.2655,915.93,964.32,900.17,955.89,772.81,742.09
2022-05-31,1.2647,912.17,953.37,903.02,954.73,769.78,738.28
,1.2845,887.33,907.59,871.46,935.42,761.47,730.43
