Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada  Select Hardisty,Implied Bitumen  Hardisty
2020-07-01,1.3587,340,355,299,297,253,232
2020-07-02,1.3564,347,362,311,312,270,256
2020-07-03,-,-,-,-,-,-,-
2020-07-04,-,-,-,-,-,-,-
2020-07-05,-,-,-,-,-,-,-
2020-07-06,1.3539,346,362,308,322,283,272
2020-07-07,1.3603,348,363,307,325,283,272
2020-07-08,1.3512,348,366,311,325,283,271
2020-07-09,1.3586,339,359,300,313,266,251
2020-07-10,1.3592,347,367,305,325,276,260
2020-07-11,-,-,-,-,-,-,-
2020-07-12,-,-,-,-,-,-,-
2020-07-13,1.3609,343,359,307,324,276,262
2020-07-14,1.3615,345,368,315,334,287,274
2020-07-15,1.3509,350,371,321,340,287,273
2020-07-16,1.3574,348,371,317,335,292,281
2020-07-17,1.3580,347,368,314,327,269,248
2020-07-18,-,-,-,-,-,-,-
2020-07-19,-,-,-,-,-,-,-
2020-07-20,1.3535,347,365,316,326,269,248
2020-07-21,1.3459,355,370,323,334,275,250
2020-07-22,1.3417,353,368,322,332,273,250
2020-07-23,1.3410,346,361,314,324,264,241
2020-07-24,1.3415,347,362,316,327,267,243
2020-07-25,-,-,-,-,-,-,-
2020-07-26,-,-,-,-,-,-,-
2020-07-27,1.3356,349,362,323,343,272,249
2020-07-28,1.3380,345,357,317,336,265,240
2020-07-29,1.3340,346,362,317,340,264,239
2020-07-30,1.3423,337,360,310,333,255,228
2020-07-31,1.3412,340,361,312,334,255,227
,1.3501,346,364,313,328,272,253
