Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-07-01,1.3135,488,539,453,492,382,354
2019-07-02,1.3108,464,512,422,467,353,324
2019-07-03,1.3058,471,522,431,476,363,334
2019-07-04,-,-,-,-,-,-,-
2019-07-05,-,-,-,-,-,-,-
2019-07-08,1.3096,475,526,440,482,373,342
2019-07-09,1.3128,478,530,445,486,381,351
2019-07-10,1.3082,497,547,463,505,400,370
2019-07-11,1.3072,495,548,459,505,404,376
2019-07-12,1.3028,493,551,460,496,407,381
2019-07-13,-,-,-,-,-,-,-
2019-07-14,-,-,-,-,-,-,-
2019-07-15,1.3049,489,542,450,492,401,375
2019-07-16,1.3088,474,529,439,484,401,383
2019-07-17,1.3054,466,520,432,474,346,375
2019-07-18,1.3027,453,508,422,464,335,298
2019-07-19,1.3059,457,512,429,471,339,302
2019-07-20,-,-,-,-,-,-,-
2019-07-21,-,-,-,-,-,-,-
2019-07-22,1.3119,464,518,433,475,342,304
2019-07-23,1.3136,468,527,439,481,347,309
2019-07-24,1.3142,460,517,430,470,339,301
2019-07-25,1.3165,462,519,437,477,344,305
2019-07-26,1.3166,465,521,440,476,349,311
2019-07-27,-,-,-,-,-,-,-
2019-07-28,-,-,-,-,-,-,-
2019-07-29,1.3164,471,525,448,487,357,318
2019-07-30,1.3151,480,535,458,496,363,323
2019-07-31,1.3191,486,532,461,507,375,340
,1.3106,474,528,443,484,367,337
