Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2022-08-01,1.2844,758.50,834.77,735.40,828.30,592.41,540.62
2022-08-02,1.2881,764.98,831.74,739.30,824.37,607.64,557.33
2022-08-03,1.2843,732.35,802.55,722.66,796.17,577.25,518.37
2022-08-04,1.2865,716.45,774.07,702.37,764.68,558.34,498.13
2022-08-05,1.2932,724.01,795.42,705.62,766.63,557.58,494.63
2022-08-06,-,-,-,-,-,-,-
2022-08-07,-,-,-,-,-,-,-
2022-08-08,1.2854,733.79,808.82,721.26,781.49,574.51,511.78
2022-08-09,1.2889,733.68,805.18,725.25,778.75,576.08,511.30
2022-08-10,1.2776,738.74,796.11,723.63,776.67,576.57,512.85
2022-08-11,1.2764,757.39,814.39,741.25,800.26,595.94,532.60
2022-08-12,1.2782,740.37,796.08,727.10,786.60,582.39,520.16
2022-08-13,-,-,-,-,-,-,-
2022-08-14,-,-,-,-,-,-,-
2022-08-15,1.2906,725.80,762.16,713.46,775.15,564.91,503.13
2022-08-16,1.2845,699.10,752.91,684.64,739.17,541.23,481.12
2022-08-17,1.2913,715.63,754.78,704.26,760.30,560.91,501.21
2022-08-18,1.2948,737.04,785.25,723.84,780.04,572.77,509.74
2022-08-19,1.2994,741.86,785.75,723.64,780.03,571.62,508.20
2022-08-20,-,-,-,-,-,-,-
2022-08-21,-,-,-,-,-,-,-
2022-08-22,1.3056,740.97,789.50,732.43,791.14,581.33,518.34
2022-08-23,1.2955,769.13,812.32,751.61,811.91,602.09,541.87
2022-08-24,1.2967,780.04,827.26,753.04,828.49,616.02,555.59
2022-08-25,1.2924,756.16,812.00,734.45,809.64,596.26,538.79
2022-08-26,1.3033,762.86,824.18,738.10,813.93,598.75,540.79
2022-08-27,-,-,-,-,-,-,-
2022-08-28,-,-,-,-,-,-,-
2022-08-29,1.3011,793.90,852.49,769.10,844.80,629.98,572.12
2022-08-30,1.3093,754.68,823.61,732.11,808.29,592.94,535.04
2022-08-31,1.3130,739.55,790.42,708.50,784.89,568.93,510.87
,1.2922,744.22,801.38,726.65,792.68,582.45,522.37
