Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-05-01,1.3544,644.54,678.79,611.49,660.90,519.48,480.21
2023-05-02,1.3626,614.16,646.73,580.48,624.62,486.63,446.95
2023-05-03,1.3615,587.46,616.15,545.07,593.46,458.15,418.67
2023-05-04,1.3539,583.84,618.16,546.20,597.72,463.60,427.83
2023-05-05,1.3375,600.16,636.25,568.10,618.16,482.30,445.87
2023-05-06,-,-,-,-,-,-,-
2023-05-07,-,-,-,-,-,-,-
2023-05-08,1.3374,615.42,645.28,591.53,642.00,493.95,454.67
2023-05-09,1.3384,620.51,650.99,598.12,644.42,505.52,468.56
2023-05-10,1.3372,610.28,644.43,588.42,636.78,499.68,463.43
2023-05-11,1.3491,601.37,641.34,583.21,634.13,495.39,459.58
2023-05-12,1.3550,596.93,633.92,576.30,618.92,488.09,455.20
2023-05-13,-,-,-,-,-,-,-
2023-05-14,-,-,-,-,-,-,-
2023-05-15,1.3467,602.34,639.69,579.38,623.00,495.95,465.45
2023-05-16,1.3482,600.89,633.11,572.06,623.36,490.22,458.76
2023-05-17,1.3455,616.36,648.77,590.29,639.80,506.93,475.53
2023-05-18,1.3503,610.32,643.86,587.22,637.75,504.83,475.87
2023-05-19,1.3505,607.77,643.45,585.01,640.22,501.76,472.12
2023-05-20,-,-,-,-,-,-,-
2023-05-21,-,-,-,-,-,-,-
2023-05-22,1.3505,611.51,644.47,586.28,641.50,501.34,470.93
2023-05-23,1.3504,618.26,658.86,594.99,650.20,507.93,476.58
2023-05-24,1.3595,634.31,668.52,610.20,661.51,516.14,483.73
2023-05-25,1.3642,613.77,651.52,589.48,647.40,499.39,466.27
2023-05-26,1.3615,622.32,658.54,594.31,652.12,504.39,471.34
2023-05-27,-,-,-,-,-,-,-
2023-05-28,-,-,-,-,-,-,-
2023-05-29,1.3592,621.26,656.40,593.31,651.01,503.54,470.54
2023-05-30,1.3602,594.26,629.16,568.42,616.33,481.16,449.07
2023-05-31,1.3574,581.34,614.55,552.05,599.87,464.97,432.95
,1.3518,609.10,643.61,582.26,632.83,494.41,460.44
