Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-10-01,1.3221,446,495,405,438,341,308
2019-10-02,1.3326,441,484,399,429,323,285
2019-10-03,1.3337,440,486,398,434,318,278
2019-10-04,1.3314,442,492,403,437,320,277
2019-10-05,-,-,-,-,-,-,-
2019-10-06,-,-,-,-,-,-,-
2019-10-07,1.3309,442,491,407,440,311,261
2019-10-08,1.3325,441,487,406,440,306,247
2019-10-09,1.3333,441,489,417,451,302,240
2019-10-10,1.3291,448,497,425,457,316,257
2019-10-11,1.3203,454,502,426,460,320,265
2019-10-12,-,-,-,-,-,-,-
2019-10-13,-,-,-,-,-,-,-
2019-10-14,1.3234,446,493,416,451,309,255
2019-10-15,1.3199,438,485,408,447,312,261
2019-10-16,1.3202,443,486,420,456,307,252
2019-10-17,1.3137,446,492,422,458,315,262
2019-10-18,1.3127,444,487,413,455,304,252
2019-10-17,-,-,-,-,-,-,-
2019-10-18,-,-,-,-,-,-,-
2019-10-21,1.3089,439,482,390,434,302,251
2019-10-22,1.3095,446,486,395,435,310,259
2019-10-23,1.3072,459,498,407,446,319,270
2019-10-24,1.3071,461,501,411,446,325,277
2019-10-25,1.3058,464,505,414,449,326,278
2019-10-26,-,-,-,-,-,-,-
2019-10-27,-,-,-,-,-,-,-
2019-10-28,1.3055,458,501,411,442,319,271
2019-10-29,1.3087,457,501,411,440,319,268
2019-10-30,1.3159,456,497,409,440,299,241
2019-10-31,1.3164,449,493,391,431,290,232
,1.3192,448,493,409,444,314,263
