Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2022-09-01,1.3155,716.63,764.54,689.91,764.37,540.97,475.52
2022-09-02,1.3134,717.64,774.89,702.19,766.21,546.05,481.45
2022-09-03,-,-,-,-,-,-,-
2022-09-04,-,-,-,-,-,-,-
2022-09-05,1.3142,718.07,788.91,702.62,766.68,546.39,481.75
2022-09-06,1.3153,718.76,766.74,702.54,766.66,546.18,481.49
2022-09-07,1.3121,676.24,720.47,663.03,726.99,509.12,444.91
2022-09-08,1.3092,687.92,727.28,676.89,737.82,517.13,450.76
2022-09-09,1.3031,711.35,756.84,699.47,765.45,540.87,474.15
2022-09-10,-,-,-,-,-,-,-
2022-09-11,-,-,-,-,-,-,-
2022-09-12,1.2988,717.09,768.15,713.50,775.58,548.07,480.19
2022-09-13,1.3168,723.14,769.77,717.92,780.87,552.27,485.35
2022-09-14,1.3165,732.66,779.20,720.41,788.72,556.87,489.05
2022-09-15,1.3227,707.99,750.75,709.32,765.48,531.29,462.65
2022-09-16,1.3264,710.06,764.12,708.64,767.04,533.44,466.03
2022-09-17,-,-,-,-,-,-,-
2022-09-18,-,-,-,-,-,-,-
2022-09-19,1.3251,714.53,758.37,707.78,766.12,532.75,465.41
2022-09-20,1.3365,709.91,758.25,705.71,764.56,527.08,458.23
2022-09-21,1.3463,706.57,755.09,708.43,767.71,528.49,459.13
2022-09-22,1.3487,712.07,758.22,708.85,768.23,528.58,458.59
2022-09-23,1.3592,677.43,732.57,676.15,735.99,485.50,411.13
2022-09-24,-,-,-,-,-,-,-
2022-09-25,-,-,-,-,-,-,-
2022-09-26,1.3735,662.70,719.63,664.00,724.47,471.35,396.19
2022-09-27,1.3724,677.62,738.22,677.97,723.29,485.47,410.37
2022-09-28,1.3608,703.14,762.45,703.14,752.35,514.83,441.48
2022-09-29,1.3680,698.94,763.99,678.98,752.98,509.90,435.21
2022-09-30,1.3829,691.42,749.35,671.24,746.04,502.49,427.95
,1.3335,704.18,755.81,695.85,757.89,525.23,456.23
