Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-03-01,1.2646,482,504,461,490,389,344
2021-03-02,1.2635,475,495,454,479,385,341
2021-03-03,1.2655,488,507,467,498,396,351
2021-03-04,1.2667,509,533,491,523,419,374
2021-03-05,1.2659,526,553,508,540,436,389
2021-03-06,-,-,-,-,-,-,-
2021-03-07,-,-,-,-,-,-,-
2021-03-08,1.2665,518,540,497,534,425,376
2021-03-09,1.2638,509,532,489,528,419,370
2021-03-10,1.2618,511,539,497,535,426,377
2021-03-11,1.2533,520,547,503,545,434,385
2021-03-12,1.2475,515,540,496,536,428,381
2021-03-13,-,-,-,-,-,-,-
2021-03-14,-,-,-,-,-,-,-
2021-03-15,1.2472,513,537,494,530,426,380
2021-03-16,1.2448,507,534,490,525,421,377
2021-03-17,1.2405,504,527,487,525,423,384
2021-03-18,1.2487,471,493,449,491,384,346
2021-03-19,1.2500,483,504,466,508,402,363
2021-03-20,-,-,-,-,-,-,-
2021-03-21,-,-,-,-,-,-,-
2021-03-22,1.2522,485,502,466,507,401,362
2021-03-23,1.2588,457,473,438,478,373,334
2021-03-24,1.2579,484,502,463,503,398,359
2021-03-25,1.2613,464,484,446,481,382,344
2021-03-26,1.2577,482,504,463,499,401,363
2021-03-27,-,-,-,-,-,-,-
2021-03-28,-,-,-,-,-,-,-
2021-03-29,1.2591,488,510,472,509,406,368
2021-03-30,1.2634,481,504,465,504,398,359
2021-03-31,1.2562,467,493,453,490,386,348
,1.2573,493,515,475,511,407,364
