Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-05-01,1.3446,538,612,498,549,432,403
2019-05-02,1.3475,524,599,485,534,420,393
2019-05-03,1.342,523,601,485,532,416,386
2019-05-04,-,-,-,-,-,-,-
2019-05-05,-,-,-,-,-,-,-
2019-05-06,1.3448,527,603,490,540,422,390
2019-05-07,1.3474,520,596,476,526,404,369
2019-05-08,1.3479,527,599,483,534,416,384
2019-05-09,1.3477,523,599,473,528,410,378
2019-05-10,1.3417,520,604,474,526,408,377
2019-05-11,-,-,-,-,-,-,-
2019-05-12,-,-,-,-,-,-,-
2019-05-13,1.3478,517,602,466,518,403,369
2019-05-14,1.3462,523,606,469,518,401,365
2019-05-15,1.3438,524,616,466,519,410,375
2019-05-16,1.346,532,626,472,526,424,392
2019-05-17,1.3458,531,620,474,528,422,391
2019-05-18,-,-,-,-,-,-,-
2019-05-19,-,-,-,-,-,-,-
2019-05-20,1.3429,533,612,476,532,402,361
2019-05-21,1.3406,531,607,474,530,399,358
2019-05-22,1.3435,517,599,467,514,388,353
2019-05-23,1.3474,489,574,429,475,350,312
2019-05-24,1.3437,494,586,434,481,356,318
2019-05-25,-,-,-,-,-,-,-
2019-05-26,-,-,-,-,-,-,-
2019-05-27,-,-,-,-,-,-,-
2019-05-28,1.3494,502,593,437,494,358,318
2019-05-29,1.3519,500,589,437,494,358,317
2019-05-30,1.3500,481,562,416,472,335,293
2019-05-31,1.3523,468,547,404,460,327,287
,1.3461,516,598,463,515,394,359
