Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-12-01,-,-,-,-,-,-,-
2019-12-02,1.3308,468,509,415,458,296,212
2019-12-03,1.3296,469,510,418,466,288,204
2019-12-04,1.3201,485,522,441,486,312,226
2019-12-05,1.3174,484,532,443,487,319,234
2019-12-06,1.3255,494,546,445,491,327,239
2019-12-07,-,-,-,-,-,-,-
2019-12-08,-,-,-,-,-,-,-
2019-12-09,1.3239,491,545,443,489,325,237
2019-12-10,1.3230,493,543,439,478,326,242
2019-12-11,1.3174,487,540,430,467,310,221
2019-12-12,1.3185,491,550,428,463,310,219
2019-12-13,1.3166,497,554,433,468,315,224
2019-12-14,-,-,-,-,-,-,-
2019-12-15,-,-,-,-,-,-,-
2019-12-16,1.3155,498,555,436,473,316,227
2019-12-17,1.3160,504,559,446,479,334,251
2019-12-18,1.3115,503,559,445,477,331,247
2019-12-19,1.3125,505,559,452,494,323,239
2019-12-20,1.3161,500,551,446,489,319,236
2019-12-21,-,-,-,-,-,-,-
2019-12-22,-,-,-,-,-,-,-
2019-12-23,1.3148,500,548,448,491,322,238
2019-12-24,1.3165,506,555,452,496,326,243
2019-12-25,-,-,-,-,-,-,-
2019-12-26,1.3122,509,558,456,499,330,247
2019-12-27,1.3079,508,555,454,497,331,249
2019-12-30,1.3069,507,552,455,498,325,241
,1.3167,495,545,441,483,319,234
