Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada  Select Hardisty,Implied Bitumen  Hardisty
2020-08-01,-,-,-,-,-,-,-
2020-08-02,-,-,-,-,-,-,-
2020-08-03,1.3391,345,363,317,336,259,231
2020-08-04,1.3319,349,365,322,343,255,222
2020-08-05,1.3266,352,370,323,343,252,218
2020-08-06,1.3307,351,370,317,332,250,216
2020-08-07,1.3384,347,371,318,326,249,213
2020-08-08,-,-,-,-,-,-,-
2020-08-09,-,-,-,-,-,-,-
2020-08-10,1.3351,352,372,320,329,253,218
2020-08-11,1.3301,348,366,313,326,250,213
2020-08-12,1.3247,356,371,317,330,263,230
2020-08-13,1.3223,351,367,319,333,271,243
2020-08-14,1.3266,351,367,318,331,272,245
2020-08-15,-,-,-,-,-,-,-
2020-08-16,-,-,-,-,-,-,-
2020-08-17,1.3215,357,369,325,335,279,254
2020-08-18,1.3168,355,367,314,326,260,226
2020-08-19,1.3216,357,368,316,328,261,227
2020-08-20,1.3186,353,366,314,326,258,223
2020-08-21,1.3177,350,361,311,326,255,221
2020-08-22,-,-,-,-,-,-,-
2020-08-23,-,-,-,-,-,-,-
2020-08-24,1.3218,353,368,314,327,259,226
2020-08-25,1.3173,358,378,323,335,266,233
2020-08-26,1.3143,359,374,322,334,261,228
2020-08-27,1.3128,355,369,321,330,260,227
2020-08-28,1.3099,354,368,319,332,264,234
2020-08-29,-,-,-,-,-,-,-
2020-08-30,-,-,-,-,-,-,-
2020-08-31,1.3047,350,364,317,329,259,227
,1.3230,353,368,318,331,260,228
