Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-01-02,1.3579,398,460,365,387,289,252
2019-01-03,1.3488,400,463,374,393,293,254
2019-01-04,1.3374,403,476,374,398,297,260
2019-01-05,-,-,-,-,-,-,-
2019-01-06,-,-,-,-,-,-,-
2019-01-07,1.3299,406,476,380,398,318,286
2019-01-08,1.3274,416,482,389,418,340,315
2019-01-09,1.3209,435,503,411,441,364,342
2019-01-10,1.3236,438,503,415,445,372,351
2019-01-11,1.3267,431,499,408,438,373,354
2019-01-12,-,-,-,-,-,-,-
2019-01-13,-,-,-,-,-,-,-
2019-01-14,1.3285,422,489,401,427,359,338
2019-01-15,1.3266,435,498,408,434,369,352
2019-01-16,1.3255,436,505,409,436,369,352
2019-01-17,1.3279,435,505,406,429,350,325
2019-01-18,1.3260,449,518,420,448,356,327
2019-01-19,-,-,-,-,-,-,-
2019-01-20,-,-,-,-,-,-,-
2019-01-21,-,-,-,-,-,-,-
2019-01-22,1.3355,442,513,402,431,353,331
2019-01-23,1.3343,440,508,405,440,364,346
2019-01-24,1.3350,445,512,415,444,366,347
2019-01-25,1.3218,445,508,415,442,365,345
2019-01-26,-,-,-,-,-,-,-
2019-01-27,-,-,-,-,-,-,-
2019-01-28,1.3262,434,496,402,432,354,337
2019-01-29,1.3269,445,508,407,443,370,353
2019-01-30,1.3149,449,507,418,446,377,359
2019-01-31,1.3125,444,503,411,441,366,344
,1.3292,431,497,402,429,351,327
