Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-11-01,1.3142,465,510,392,431,286,218
2019-11-02,-,-,-,-,-,-,-
2019-11-03,-,-,-,-,-,-,-
2019-11-04,1.3151,468,516,399,441,284,211
2019-11-05,1.3157,474,522,413,454,290,216
2019-11-06,1.3181,467,514,408,452,289,218
2019-11-07,1.3174,474,520,412,453,282,211
2019-11-08,1.3228,476,524,417,459,287,216
2019-11-09,-,-,-,-,-,-,-
2019-11-10,-,-,-,-,-,-,-
2019-11-11,1.3233,473,519,413,454,299,233
2019-11-12,1.3233,473,521,411,459,314,250
2019-11-13,1.3251,476,526,413,463,324,262
2019-11-14,1.3248,473,525,410,457,337,282
2019-11-15,1.3223,480,532,417,463,348,297
2019-11-16,-,-,-,-,-,-,-
2019-11-17,-,-,-,-,-,-,-
2019-11-18,1.3206,474,519,410,454,340,288
2019-11-19,1.3268,461,509,392,439,304,245
2019-11-20,1.3304,478,524,416,461,321,256
2019-11-21,1.3285,489,527,427,470,331,265
2019-11-22,1.3302,483,527,423,466,326,260
2019-11-23,-,-,-,-,-,-,-
2019-11-24,-,-,-,-,-,-,-
2019-11-25,1.3299,485,527,421,462,324,257
2019-11-26,1.3272,488,532,425,464,329,263
2019-11-27,1.3282,485,532,422,465,323,256
2019-11-28,-,-,-,-,-,-,-
2019-11-29,1.3283,461,512,401,443,302,234
2019-11-30,-,-,-,-,-,-,-
,1.3236,475,522,412,456,312,247
