Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2022-02-01,1.2687,703.83,728.64,689.22,712.36,597.05,542.87
2022-02-02,1.2669,703.31,725.22,689.76,715.66,596.13,540.99
2022-02-03,1.2678,719.83,740.81,705.64,728.37,609.95,555.25
2022-02-04,1.2757,740.69,765.72,729.94,751.20,628.83,573.79
2022-02-05,-,-,-,-,-,-,-
2022-02-06,-,-,-,-,-,-,-
2022-02-07,1.2667,727.57,764.62,716.10,739.21,616.11,559.94
2022-02-08,1.2708,714.26,750.71,702.27,725.05,605.56,551.92
2022-02-09,1.2670,714.52,752.13,702.48,725.59,609.24,555.93
2022-02-10,1.2719,719.04,751.76,706.64,729.44,613.44,558.08
2022-02-11,1.2737,745.86,781.83,735.52,759.15,639.38,583.22
2022-02-12,-,-,-,-,-,-,-
2022-02-13,-,-,-,-,-,-,-
2022-02-14,1.2730,764.34,782.04,736.48,768.51,642.40,587.47
2022-02-15,1.2718,736.50,765.22,705.07,741.06,621.07,568.76
2022-02-16,1.2687,747.40,756.73,704.70,740.61,622.11,570.48
2022-02-17,1.2708,733.45,760.46,705.15,735.12,619.22,566.47
2022-02-18,1.2752,730.45,769.03,706.71,736.79,620.49,567.55
2022-02-19,-,-,-,-,-,-,-
2022-02-20,-,-,-,-,-,-,-
2022-02-21,1.2753,730.51,783.77,706.77,736.85,620.54,567.59
2022-02-22,1.2770,741.76,776.62,723.05,751.16,635.50,583.37
2022-02-23,1.2734,742.48,781.64,721.97,752.01,635.87,583.49
2022-02-24,1.2816,752.98,798.77,734.60,764.83,649.96,598.13
2022-02-25,1.2713,740.37,781.07,720.86,750.05,637.30,586.20
2022-02-26,-,-,-,-,-,-,-
2022-02-27,-,-,-,-,-,-,-
2022-02-28,1.2675,763.11,803.85,753.62,781.53,669.52,618.81
,1.2717,733.61,766.03,714.83,742.23,624.48,571.02
