Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-10-01,1.2648,603.65,632.85,581.46,598.96,506.68,454.17
2021-10-02,-,-,-,-,-,-,-
2021-10-03,-,-,-,-,-,-,-
2021-10-04,1.2589,614.61,647.08,597.59,611.05,518.41,465.83
2021-10-05,1.2583,624.69,657.85,611.95,625.80,529.24,476.85
2021-10-06,1.2590,613.16,642.77,592.25,604.13,508.71,455.10
2021-10-07,1.2551,618.13,653.26,606.60,616.86,523.71,470.42
2021-10-08,1.2472,622.47,650.71,607.57,612.67,516.18,459.23
2021-10-09,-,-,-,-,-,-,-
2021-10-10,-,-,-,-,-,-,-
2021-10-11,1.2483,632.21,658.75,617.45,622.55,525.98,468.97
2021-10-12,1.2468,632.39,656.07,616.24,620.16,520.95,461.67
2021-10-13,1.2443,629.56,653.19,616.17,620.48,514.82,454.24
2021-10-14,1.2370,632.63,655.04,618.71,620.26,521.84,463.64
2021-10-15,1.2368,640.08,660.22,622.81,626.70,524.40,465.20
2021-10-16,-,-,-,-,-,-,-
2021-10-17,-,-,-,-,-,-,-
2021-10-18,1.2379,641.89,651.62,618.92,623.98,527.04,465.15
2021-10-19,1.2363,645.10,657.39,616.26,627.92,529.16,471.85
2021-10-20,1.2321,649.97,661.59,623.62,633.69,536.82,479.55
2021-10-21,1.2368,647.62,654.93,619.46,631.13,530.00,470.80
2021-10-22,1.2366,658.09,661.05,628.31,641.92,536.14,475.31
2021-10-23,-,-,-,-,-,-,-
2021-10-24,-,-,-,-,-,-,-
2021-10-25,1.2382,656.22,664.79,626.16,639.79,528.03,464.63
2021-10-26,1.2390,659.68,666.62,634.75,648.38,536.55,473.12
2021-10-27,1.2359,642.56,649.87,614.73,628.34,512.90,447.91
2021-10-28,1.2346,643.05,653.15,618.20,633.73,523.08,463.98
2021-10-29,1.2388,651.16,653.89,625.37,639.40,528.75,470.47
2021-10-30,-,-,-,-,-,-,-
2021-10-31,-,-,-,-,-,-,-
,1.2439,636.14,654.41,614.98,625.14,523.78,465.62
