Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-07-01,1.2437,589,596,554,571,475,435
2021-07-02,1.2322,583,592,559,579,475,435
2021-07-03,-,-,-,-,-,-,-
2021-07-04,-,-,-,-,-,-,-
2021-07-05,-,-,-,-,-,-,-
2021-07-06,1.2461,575,592,550,565,471,431
2021-07-07,1.2481,567,581,539,553,461,421
2021-07-08,1.2534,575,590,550,564,474,434
2021-07-09,1.2447,584,597,559,573,484,444
2021-07-10,-,-,-,-,-,-,-
2021-07-11,-,-,-,-,-,-,-
2021-07-12,1.2453,580,594,554,569,479,438
2021-07-13,1.2513,592,607,563,584,489,448
2021-07-14,1.2509,575,593,542,563,469,428
2021-07-15,1.2595,568,588,535,557,461,420
2021-07-16,1.2613,570,585,534,557,462,421
2021-07-17,-,-,-,-,-,-,-
2021-07-18,-,-,-,-,-,-,-
2021-07-19,1.2750,533,551,494,517,420,378
2021-07-20,1.2682,538,547,506,527,430,388
2021-07-21,1.2556,557,570,524,545,449,407
2021-07-22,1.2563,569,579,536,556,457,414
2021-07-23,1.2564,571,582,539,559,457,414
2021-07-24,-,-,-,-,-,-,-
2021-07-25,-,-,-,-,-,-,-
2021-07-26,1.2551,568,585,535,562,460,417
2021-07-27,1.2602,568,586,538,559,458,413
2021-07-28,1.2528,570,584,539,560,458,408
2021-07-29,1.2448,576,588,543,566,463,412
2021-07-30,1.2475,580,591,546,569,466,415
2021-07-31,-,-,-,-,-,-,-
,1.2528,571,585,540,560,463,420
