Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-02-01,1.2851,433,453,397,413,331,284
2021-02-02,1.2781,440,462,405,420,350,308
2021-02-03,1.2786,448,470,412,427,355,313
2021-02-04,1.2827,454,474,421,437,361,318
2021-02-05,1.2756,456,476,427,444,373,336
2021-02-06,-,-,-,-,-,-,-
2021-02-07,-,-,-,-,-,-,-
2021-02-08,1.2739,465,484,436,449,380,343
2021-02-09,1.2693,466,488,434,448,379,341
2021-02-10,1.2701,469,488,434,450,375,334
2021-02-11,1.2705,465,487,431,447,373,333
2021-02-12,1.2696,475,502,444,460,380,337
2021-02-13,-,-,-,-,-,-,-
2021-02-14,-,-,-,-,-,-,-
2021-02-15,-,-,-,-,-,-,-
2021-02-16,1.2690,479,506,448,464,390,351
2021-02-17,1.2702,488,517,465,492,399,357
2021-02-18,1.2679,483,506,457,483,387,344
2021-02-19,1.2615,470,493,447,470,376,333
2021-02-20,-,-,-,-,-,-,-
2021-02-21,-,-,-,-,-,-,-
2021-02-22,1.2615,488,513,468,492,396,351
2021-02-23,1.2587,488,507,472,494,404,362
2021-02-24,1.2513,497,523,481,506,413,371
2021-02-25,1.2603,504,524,484,511,416,371
2021-02-26,1.2738,493,516,475,502,406,361
2021-02-27,-,-,-,-,-,-,-
2021-02-28,-,-,-,-,-,-,-
,1.2699,472,494,444,464,381,339
