Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2022-04-01,1.2522,781.86,832.11,790.84,837.31,693.57,651.35
2022-04-02,-,-,-,-,-,-,-
2022-04-03,-,-,-,-,-,-,-
2022-04-04,1.2485,811.04,852.19,816.46,860.43,718.69,676.13
2022-04-05,1.2487,800.80,835.91,782.11,830.81,686.68,644.58
2022-04-06,1.2544,759.25,804.14,762.17,806.75,658.02,615.42
2022-04-07,1.2591,760.51,800.03,763.84,810.16,662.07,620.49
2022-04-08,1.2572,777.00,805.86,769.25,822.62,673.57,630.39
2022-04-09,-,-,-,-,-,-,-
2022-04-10,-,-,-,-,-,-,-
2022-04-11,1.2630,749.04,786.38,741.26,796.87,649.11,606.53
2022-04-12,1.2644,800.06,834.09,793.77,857.00,699.93,655.47
2022-04-13,1.2567,824.03,860.08,815.50,877.15,721.44,677.09
2022-04-14,1.2603,847.80,882.52,838.36,901.78,744.83,700.67
2022-04-15,1.2610,848.27,884.99,838.83,902.28,745.24,701.06
2022-04-16,-,-,-,-,-,-,-
2022-04-17,-,-,-,-,-,-,-
2022-04-18,1.2614,858.53,887.33,843.94,907.41,752.70,709.53
2022-04-19,1.2618,813.97,841.58,804.28,853.89,715.79,668.49
2022-04-20,1.2499,807.78,830.27,795.99,848.66,708.73,672.33
2022-04-21,1.2581,827.25,854.15,814.03,863.09,724.61,687.34
2022-04-22,1.2710,823.98,841.96,803.27,852.84,712.94,675.28
2022-04-23,-,-,-,-,-,-,-
2022-04-24,-,-,-,-,-,-,-
2022-04-25,1.2735,797.32,812.22,782.34,833.61,693.83,656.91
2022-04-26,1.2826,820.45,841.34,813.67,870.14,723.72,687.74
2022-04-27,1.2819,822.58,841.12,809.27,865.71,718.16,681.72
2022-04-28,1.2808,848.78,861.43,838.47,892.85,743.41,706.11
2022-04-29,1.2848,846.02,861.29,835.91,890.46,740.56,704.92
2022-04-30,-,-,-,-,-,-,-
,1.2634,810.78,840.52,802.55,856.28,708.93,668.07
