Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-07-01,-,-,-,-,-,-,-
2023-07-02,-,-,-,-,-,-,-
2023-07-03,1.3250,588.71,623.88,567.46,617.47,494.54,472.20
2023-07-04,1.3223,587.51,633.51,566.31,616.21,493.53,471.24
2023-07-05,1.3282,599.74,641.10,592.06,632.57,516.03,497.40
2023-07-06,1.3368,603.71,645.16,597.99,634.57,513.91,494.07
2023-07-07,1.3274,616.66,655.57,607.98,643.46,520.73,498.52
2023-07-08,-,-,-,-,-,-,-
2023-07-09,-,-,-,-,-,-,-
2023-07-10,1.3280,609.68,652.69,602.07,640.50,516.88,496.66
2023-07-11,1.3231,622.74,662.68,616.91,655.19,529.12,508.98
2023-07-12,1.3187,628.30,667.20,630.04,664.05,530.92,506.21
2023-07-13,1.3110,634.03,672.79,634.77,667.34,539.53,514.46
2023-07-14,1.3216,626.94,660.94,624.69,657.53,527.02,501.00
2023-07-15,-,-,-,-,-,-,-
2023-07-16,-,-,-,-,-,-,-
2023-07-17,1.3199,615.59,649.96,613.84,646.64,515.88,489.73
2023-07-18,1.3169,627.44,658.42,613.19,653.78,510.48,476.03
2023-07-19,1.3164,623.89,658.25,609.73,650.30,507.06,472.62
2023-07-20,1.3172,626.59,658.74,614.08,654.68,511.35,476.88
2023-07-21,1.3224,641.87,672.15,626.49,667.24,512.12,488.74
2023-07-22,-,-,-,-,-,-,-
2023-07-23,-,-,-,-,-,-,-
2023-07-24,1.3168,653.40,685.37,639.73,686.53,522.95,483.94
2023-07-25,1.3172,663.04,689.31,646.81,692.37,532.89,494.20
2023-07-26,1.3208,654.47,689.20,640.76,687.70,525.70,485.99
2023-07-27,1.3224,666.16,695.94,650.52,697.52,535.32,495.57
2023-07-28,1.3237,669.56,703.78,649.58,704.53,541.34,501.55
2023-07-29,-,-,-,-,-,-,-
2023-07-30,-,-,-,-,-,-,-
2023-07-31,1.3190,678.63,705.93,660.30,708.42,565.31,530.63
,1.3217,630.41,665.84,619.30,660.89,522.03,493.17
