Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-04-01,-,-,-,-,-,-,-
2023-04-02,-,-,-,-,-,-,-
2023-04-03,1.3437,679.68,720.25,648.07,703.43,558.91,522.48
2023-04-04,1.3445,682.54,726.85,651.25,703.68,558.65,520.25
2023-04-05,1.3458,682.35,723.15,646.37,698.01,547.76,506.96
2023-04-06,1.3493,684.89,727.32,647.29,708.40,551.39,510.48
2023-04-07,1.3512,685.85,725.63,648.20,709.39,552.17,511.20
2023-04-08,-,-,-,-,-,-,-
2023-04-09,-,-,-,-,-,-,-
2023-04-10,1.3509,677.54,721.47,642.45,703.63,546.44,505.48
2023-04-11,1.3467,690.60,732.10,653.24,714.23,557.53,516.70
2023-04-12,1.3442,703.94,747.15,663.19,733.37,570.19,527.41
2023-04-13,1.3337,689.22,732.08,650.55,720.17,561.62,520.60
2023-04-14,1.3374,694.16,737.56,654.62,724.44,565.45,524.32
2023-04-15,-,-,-,-,-,-,-
2023-04-16,-,-,-,-,-,-,-
2023-04-17,1.3394,680.96,721.14,654.67,711.54,555.68,516.01
2023-04-18,1.3390,681.01,719.92,651.87,710.82,557.12,519.22
2023-04-19,1.3460,670.18,709.29,640.97,700.23,545.72,507.63
2023-04-20,1.3477,655.17,693.57,625.33,684.67,527.85,488.77
2023-04-21,1.3537,663.03,698.87,631.78,691.38,533.86,494.61
2023-04-22,-,-,-,-,-,-,-
2023-04-23,-,-,-,-,-,-,-
2023-04-24,1.3541,670.80,702.66,639.71,699.33,546.03,508.64
2023-04-25,1.3627,660.58,691.86,628.69,688.69,532.27,493.70
2023-04-26,1.3636,637.26,668.47,605.69,667.87,512.63,474.55
2023-04-27,1.3592,639.13,671.79,607.50,669.48,514.74,476.78
2023-04-28,1.3552,654.47,693.08,620.12,676.80,528.48,490.13
2023-04-29,-,-,-,-,-,-,-
2023-04-30,-,-,-,-,-,-,-
,1.3484,674.17,713.21,640.58,700.98,546.22,506.80
