Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2020-10-01,1.3289,324,330,280,288,232,192
2020-10-02,1.3308,310,318,271,277,226,187
2020-10-03,-,-,-,-,-,-,-
2020-10-04,-,-,-,-,-,-,-
2020-10-05,1.3263,327,336,294,299,246,206
2020-10-06,1.3312,341,340,306,309,255,216
2020-10-07,1.3256,333,342,306,310,252,212
2020-10-08,1.3196,342,351,314,314,263,223
2020-10-09,1.3121,335,343,308,305,261,224
2020-10-10,-,-,-,-,-,-,-
2020-10-11,-,-,-,-,-,-,-
2020-10-12,1.3114,325,333,298,297,252,215
2020-10-13,1.3139,332,340,309,305,255,219
2020-10-14,1.3146,339,350,322,315,260,223
2020-10-15,1.3221,341,348,314,316,264,231
2020-10-16,1.3189,339,346,316,314,263,230
2020-10-17,-,-,-,-,-,-,-
2020-10-18,-,-,-,-,-,-,-
2020-10-19,1.3192,339,346,316,314,262,229
2020-10-20,1.3129,342,347,316,316,251,212
2020-10-21,1.3146,329,339,307,307,245,207
2020-10-22,1.3136,334,345,304,307,249,211
2020-10-23,1.3125,328,339,301,301,242,205
2020-10-24,-,-,-,-,-,-,-
2020-10-25,-,-,-,-,-,_,-
2020-10-26,1.3212,320,331,287,288,226,185
2020-10-27,1.3185,328,333,296,298,240,200
2020-10-28,1.3323,313,322,283,285,228,190
2020-10-29,1.3325,303,311,276,277,220,185
2020-10-30,1.3321,300,309,269,270,213,177
,1.3211,328,336,300,301,246,208
