Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-04-01,1.3307,516,577,483,512,447,430
2019-04-02,1.3337,525,581,497,528,458,444
2019-04-03,1.3345,524,581,493,530,455,441
2019-04-04,1.3359,522,579,492,526,452,438
2019-04-05,1.3384,531,589,504,539,462,447
2019-04-06,-,-,-,-,-,-,-
2019-04-07,-,-,-,-,-,-,-
2019-04-08,1.3314,539,593,513,550,471,457
2019-04-09,1.3330,536,592,510,548,467,449
2019-04-10,1.3319,541,597,507,549,466,448
2019-04-11,1.3383,535,595,502,542,458,440
2019-04-12,1.3323,535,595,499,542,457,436
2019-04-13,-,-,-,-,-,-,-
2019-04-14,-,-,-,-,-,-,-
2019-04-15,1.3367,533,596,499,545,455,432
2019-04-16,1.3350,538,599,502,547,461,442
2019-04-17,1.3341,535,596,497,533,451,431
2019-04-18,1.3376,538,601,501,543,453,431
2019-04-19,-,-,-,-,-,-,-
2019-04-20,-,-,-,-,-,-,-
2019-04-21,-,-,-,-,-,-,-
2019-04-22,1.3347,552,616,514,556,466,444
2019-04-23,1.3423,561,623,520,566,465,440
2019-04-24,1.3493,559,627,516,563,456,429
2019-04-25,1.3485,553,626,509,551,446,415
2019-04-26,1.3455,536,604,495,531,426,395
2019-04-27,-,-,-,-,-,-,-
2019-04-28,-,-,-,-,-,-,-
2019-04-29,1.3458,538,606,502,539,433,404
2019-04-30,1.3388,538,605,504,546,426,395
,1.3375,537,599,503,542,454,433
