Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-01-01,-,-,-,-,-,-,-
2021-01-02,-,-,-,-,-,-,-
2021-01-03,-,-,-,-,-,-,-
2021-01-04,1.2778,383,402,334,351,260,205
2021-01-05,1.2669,398,421,351,364,276,220
2021-01-06,1.2677,404,427,354,365,279,224
2021-01-07,1.2691,406,430,361,373,286,232
2021-01-08,1.2702,417,446,375,386,301,247
2021-01-07,-,-,-,-,-,-,-
2021-01-08,-,-,-,-,-,-,-
2021-01-11,1.2784,420,442,376,386,303,251
2021-01-12,1.2711,425,450,384,395,325,282
2021-01-13,1.2698,423,444,385,399,332,293
2021-01-14,1.264,426,445,393,409,340,302
2021-01-15,1.2732,419,436,386,403,334,296
2021-01-16,-,-,-,-,-,-,-
2021-01-17,-,-,-,-,-,-,-
2021-01-18,-,-,-,-,-,-,-
2021-01-19,1.2735,424,444,391,408,314,266
2021-01-20,1.2636,423,439,383,403,310,261
2021-01-21,1.2637,422,443,384,403,310,262
2021-01-22,1.2733,418,439,381,399,305,256
2021-01-23,-,-,-,-,-,-,-
2021-01-24,-,-,-,-,-,-,-
2021-01-25,1.274,423,444,385,406,313,265
2021-01-26,1.2694,420,443,382,404,314,267
2021-01-27,1.2799,425,442,387,405,320,274
2021-01-28,1.283,422,442,386,406,319,272
,1.2716,417,438,376,393,308,260
