Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-03-01,1.3594,664.28,720.80,655.21,706.52,532.94,460.78
2023-03-02,1.3597,668.44,720.53,660.23,711.98,534.94,461.82
2023-03-03,1.3598,681.49,732.21,674.82,730.42,552.94,482.21
2023-03-04,-,-,-,-,-,-,-
2023-03-05,-,-,-,-,-,-,-
2023-03-06,1.3613,688.92,734.82,680.02,725.83,558.43,486.68
2023-03-07,1.3754,671.15,714.23,658.26,701.94,535.41,462.40
2023-03-08,1.3805,665.65,711.84,651.14,697.16,526.98,453.26
2023-03-09,1.3828,658.58,706.33,643.44,688.67,517.77,443.05
2023-03-10,1.3832,667.12,716.80,651.20,696.88,523.74,448.23
2023-03-11,-,-,-,-,-,-,-
2023-03-12,-,-,-,-,-,-,-
2023-03-13,1.3731,646.01,694.64,625.11,670.45,495.56,419.65
2023-03-14,1.3686,614.03,663.18,590.27,638.47,468.46,396.15
2023-03-15,1.3768,585.49,639.44,566.87,614.93,449.96,379.65
2023-03-16,1.3721,589.88,638.72,564.42,612.32,449.20,379.64
2023-03-17,1.3731,576.40,620.71,550.84,598.77,434.25,364.12
2023-03-18,-,-,-,-,-,-,-
2023-03-19,-,-,-,-,-,-,-
2023-03-20,1.3664,581.33,628.59,561.39,617.25,449.66,401.44
2023-03-21,1.3713,597.99,641.20,581.77,635.68,468.78,421.43
2023-03-22,1.3731,611.47,648.95,590.48,644.46,477.34,429.93
2023-03-23,1.3715,603.51,643.54,578.32,634.39,470.06,423.13
2023-03-24,1.3744,599.17,640.14,578.16,634.35,470.10,423.25
2023-03-25,-,-,-,-,-,-,-
2023-03-26,-,-,-,-,-,-,-
2023-03-27,1.3661,625.62,662.05,608.61,661.45,501.20,454.97
2023-03-28,1.3601,626.21,667.02,608.42,661.88,502.76,457.85
2023-03-29,1.3559,622.31,654.72,602.44,655.75,497.12,452.34
2023-03-30,1.3523,632.57,663.79,612.67,665.83,505.49,459.90
2023-03-31,1.3516,643.29,677.47,617.28,669.56,521.64,479.22
,1.3682,631.34,675.73,613.54,664.13,497.60,436.57
