Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2020-04-01,1.4191,181,182,70,78,47,32
2020-04-02,1.4138,220,222,92,100,78,67
2020-04-03,1.4205,253,267,116,120,107,98
2020-04-04,-,-,-,-,-,-,-
2020-04-05,-,-,-,-,-,-,-
2020-04-06,1.4111,231,249,81,84,79,67
2020-04-07,1.3993,208,236,59,59,35,20
2020-04-08,1.4013,221,245,88,105,64,57
2020-04-09,1.3976,200,234,65,77,39,34
2020-04-10,-,-,-,-,-,-,-
2020-04-11,-,-,-,-,-,-,-
2020-04-12,-,-,-,-,-,-,-
2020-04-13,1.3904,196,237,59,70,35,32
2020-04-14,1.3883,176,215,94,85,50,54
2020-04-15,1.4115,176,197,97,109,66,72
2020-04-16,1.4082,176,206,77,87,64,69
2020-04-17,1.4001,161,211,58,124,98,131
2020-04-18,-,-,-,-,-,-,-
2020-04-19,-,-,-,-,-,-,-
2020-04-20,1.4149,-335,203,91,122,82,82
2020-04-21,1.4211,89,155,41,36,34,35
2020-04-22,1.4161,109,173,53,78,44,23
2020-04-23,1.4073,139,178,85,98,72,54
2020-04-24,1.4103,142,183,91,93,73,53
2020-04-25,-,-,-,-,-,-,-
2020-04-26,-,-,-,-,-,-,-
2020-04-27,1.4034,113,161,69,80,57,52
2020-04-28,1.3998,109,165,68,75,44,43
2020-04-29,1.3881,131,180,90,93,64,61
2020-04-30,1.3945,165,208,128,128,99,88
,1.4056,146,205,80,91,63,58
