Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2020-09-01,1.3064,351,367,319,332,272,246
2020-09-02,1.3045,341,354,305,319,264,239
2020-09-03,1.3128,342,354,308,322,267,242
2020-09-04,1.3062,327,340,295,309,255,229
2020-09-05,-,-,-,-,-,-,-
2020-09-06,-,-,-,-,-,-,-
2020-09-07,-,-,-,-,-,-,-
2020-09-08,1.3236,306,326,275,290,235,209
2020-09-09,1.3146,315,331,286,302,257,236
2020-09-10,1.3192,310,324,280,295,246,223
2020-09-11,1.3179,309,323,285,300,244,216
2020-09-12,-,-,-,-,-,-,-
2020-09-13,-,-,-,-,-,-,-
2020-09-14,1.3176,309,322,284,298,243,214
2020-09-15,1.3186,317,331,288,302,252,223
2020-09-16,1.3178,333,344,300,319,268,243
2020-09-17,1.3167,339,352,307,328,249,211
2020-09-18,1.3204,341,352,308,329,252,216
2020-09-19,-,-,-,-,-,-,-
2020-09-20,-,-,-,-,-,-,-
2020-09-21,1.3308,329,343,302,321,243,207
2020-09-22,1.3304,331,344,293,321,243,204
2020-09-23,1.3386,335,345,298,321,244,205
2020-09-24,1.3362,338,345,298,323,249,210
2020-09-25,1.3386,338,346,299,322,250,211
2020-09-26,-,-,-,-,-,-,-
2020-09-27,-,-,-,-,-,-,-
2020-09-28,1.3370,341,352,299,323,252,214
2020-09-29,1.3388,331,339,287,310,238,199
2020-09-30,1.3319,337,343,293,316,246,207
,1.3228,329,342,296,314,251,219
