Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2022-06-01,1.2657,917.59,951.82,905.49,969.17,778.11,752.55
2022-06-02,1.2570,924.01,971.76,915.00,986.15,775.84,743.35
2022-06-03,1.2594,941.62,986.21,938.92,1010.21,788.02,748.65
2022-06-04,-,-,-,-,-,-,-
2022-06-05,-,-,-,-,-,-,-
2022-06-06,1.2580,937.64,977.68,923.48,994.69,773.14,732.94
2022-06-07,1.2532,941.24,980.41,918.85,1005.56,794.70,756.16
2022-06-08,1.2560,964.67,1004.72,950.21,1027.24,813.94,768.20
2022-06-09,1.2699,970.55,1005.38,947.87,1028.94,809.69,755.77
2022-06-10,1.2776,969.69,1010.91,951.21,1036.79,816.60,767.02
2022-06-11,-,-,-,-,-,-,-
2022-06-12,-,-,-,-,-,-,-
2022-06-13,1.2899,981.13,1025.35,949.82,1044.33,821.22,776.92
2022-06-14,1.2950,968.72,1017.84,933.61,1034.62,813.47,766.88
2022-06-15,1.2891,934.96,999.42,922.23,1017.90,796.55,750.17
2022-06-16,1.2950,957.72,995.11,900.71,996.42,778.53,745.38
2022-06-17,1.3030,897.91,959.13,857.34,951.59,736.46,703.10
2022-06-18,-,-,-,-,-,-,-
2022-06-19,-,-,-,-,-,-,-
2022-06-20,1.2981,894.54,947.53,854.12,948.02,733.69,700.46
2022-06-21,1.2922,899.33,938.75,854.87,948.34,734.99,701.91
2022-06-22,1.2946,876.90,900.27,830.56,920.14,708.42,675.28
2022-06-23,1.2996,867.45,902.52,822.00,909.87,705.52,671.35
2022-06-24,1.2891,887.60,920.12,841.23,926.36,727.31,693.25
2022-06-25,-,-,-,-,-,-,-
2022-06-26,-,-,-,-,-,-,-
2022-06-27,1.2877,887.45,940.58,860.07,947.14,747.90,714.61
2022-06-28,1.2875,905.05,964.65,872.82,958.66,758.63,724.13
2022-06-29,1.2893/td>,890.26,956.43,856.28,942.24,741.93,707.39
2022-06-30,1.2873,856.33,931.46,825.88,905.64,709.29,673.74
,1.2816,921.47,967.64,892.39,977.73,766.54,728.60
