Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic Crude Oil  Edmonton,Western Canadian Select  Hardisty,Implied Bitumen  Hardisty
2021-09-01,1.2620,544.45,564.37,512.54,531.19,446.66,402.28
2021-09-02,1.2553,552.61,574.48,520.16,537.14,456.21,412.23
2021-09-03,1.2524,545.82,569.45,515.57,530.54,450.98,407.10
2021-09-04,-,-,-,-,-,-,-
2021-09-05,-,-,-,-,-,-,-
2021-09-06,1.2534,546.26,567.47,515.98,530.96,451.34,407.43
2021-09-07,1.2647,543.71,569.40,512.20,528.11,446.98,401.95
2021-09-08,1.2691,553.18,580.16,526.04,541.21,459.79,415.64
2021-09-09,1.2664,542.76,567.54,515.28,529.62,446.38,401.86
2021-09-10,1.2692,556.58,581.08,532.07,546.44,462.22,416.87
2021-09-11,-,-,-,-,-,-,-
2021-09-12,-,-,-,-,-,-,-
2021-09-13,1.2648,560.45,584.56,535.95,550.27,469.13,424.66
2021-09-14,1.2694,562.57,588.28,538.22,551.79,467.96,422.77
2021-09-15,1.2630,576.82,597.87,553.62,565.93,480.53,434.06
2021-09-16,1.2683,579.24,600.38,558.58,565.75,482.79,436.44
2021-09-17,1.2764,577.80,601.00,553.95,564.79,480.90,434.81
2021-09-18,-,-,-,-,-,-,-
2021-09-19,-,-,-,-,-,-,-
2021-09-20,1.2822,566.87,594.54,547.68,558.57,475.90,430.26
2021-09-21,1.2820,568.96,599.28,546.39,560.09,478.65,434.22
2021-09-22,1.2772,581.05,606.68,553.98,567.64,486.50,442.24
2021-09-23,1.2655,584.64,612.03,558.14,571.67,488.49,443.44
2021-09-24,1.2652,589.92,618.01,564.53,578.06,494.90,449.86
2021-09-25,-,-,-,-,-,-,-
2021-09-26,-,-,-,-,-,-,-
2021-09-27,1.2628,599.28,627.64,574.34,587.84,504.84,459.89
2021-09-28,1.2687,600.81,621.55,571.36,586.52,500.34,451.98
2021-09-29,1.2757,600.43,629.07,578.12,590.96,507.11,458.49
2021-09-30,1.2680,598.40,628.23,575.51,588.27,505.73,457.39
,1.2674,569.66,594.68,543.65,557.43,474.74,429.36
