Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-09-01,1.3592,731.38,765.02,705.64,753.52,580.40,521.24
2023-09-02,-,-,-,-,-,-,-
2023-09-03,-,-,-,-,-,-,-
2023-09-04,1.3591,731.32,774.28,705.59,753.46,580.36,521.20
2023-09-05,1.3642,743.85,788.30,716.31,764.36,590.60,531.22
2023-09-06,1.3636,750.81,783.19,725.25,773.28,597.89,537.76
2023-09-07,1.3685,747.74,791.17,719.77,788.20,591.08,530.57
2023-09-08,1.3640,750.77,792.98,721.26,794.19,593.86,533.72
2023-09-09,-,-,-,-,-,-,-
2023-09-10,-,-,-,-,-,-,-
2023-09-11,1.3573,745.21,785.97,719.00,786.02,590.52,530.33
2023-09-12,1.3553,757.32,797.90,734.82,797.47,601.84,539.01
2023-09-13,1.3549,754.37,795.92,730.60,792.81,592.97,528.71
2023-09-14,1.3508,766.02,807.53,738.07,802.64,611.48,548.69
2023-09-15,1.3525,772.18,808.97,740.11,794.13,614.63,550.06
2023-09-16,-,-,-,-,-,-,-
2023-09-17,-,-,-,-,-,-,-
2023-09-18,1.3486,775.97,816.05,741.45,797.01,621.00,557.21
2023-09-19,1.3448,771.42,818.66,736.82,791.80,610.79,544.98
2023-09-20,1.3462,764.43,810.07,725.31,782.04,600.00,534.12
2023-09-21,1.3483,766.90,804.38,728.31,785.13,602.80,536.82
2023-09-22,1.3483,772.83,800.18,733.06,792.42,609.24,543.43
2023-09-23,-,-,-,-,-,-,-
2023-09-24,-,-,-,-,-,-,-
2023-09-25,1.3454,767.36,790.08,726.49,785.73,605.90,541.50
2023-09-26,1.3517,768.49,799.86,738.22,795.61,617.92,553.99
2023-09-27,1.3498,795.34,830.24,764.52,834.57,644.81,581.14
2023-09-28,1.3487,777.98,829.77,747.19,817.17,629.27,566.41
2023-09-29,1.3577,775.32,822.37,746.71,803.50,619.04,550.04
2023-09-30,-,-,-,-,-,-,-
,1.3542,761.29,800.61,730.69,789.76,605.07,542.01
