Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-06-01,-,-,-,-,-,-,-
2019-06-02,-,-,-,-,-,-,-
2019-06-03,1.3438,450,525,388,440,330,300
2019-06-04,1.3394,451,525,393,446,339,311
2019-06-05,1.3415,436,519,375,425,322,294
2019-06-06,1.3362,442,531,378,429,329,301
2019-06-07,1.3267,451,536,383,436,334,305
2019-06-08,-,-,-,-,-,-,-
2019-06-09,-,-,-,-,-,-,-
2019-06-10,1.3269,445,528,374,429,332,305
2019-06-11,1.3284,445,525,382,435,336,309
2019-06-12,1.3343,429,509,379,433,329,305
2019-06-13,1.3327,438,523,394,437,343,318
2019-06-14,1.3414,443,531,402,447,352,329
2019-06-15,-,-,-,-,-,-,-
2019-06-16,-,-,-,-,-,-,-
2019-06-17,1.3413,438,516,396,443,322,288
2019-06-18,1.3377,454,526,398,448,335,305
2019-06-19,1.3280,449,521,396,446,337,308
2019-06-20,1.3192,470,537,414,466,360,332
2019-06-21,1.3222,476,539,426,475,368,340
2019-06-22,-,-,-,-,-,-,-
2019-06-23,-,-,-,-,-,-,-
2019-06-24,1.3180,478,534,432,481,369,341
2019-06-25,1.3169,477,539,437,481,372,343
2019-06-26,1.3127,490,542,450,495,384,357
2019-06-27,1.3095,490,539,451,492,381,353
2019-06-28,1.3095,482,531,441,480,368,339
2019-06-29,-,-,-,-,-,-,-
2019-06-30,-,-,-,-,-,-,-
,1.3283,457,529,405,453,347,319
