Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2020-01-01,-,-,-,-,-,-,-
2020-01-02,1.2981,500,544,438,481,308,219
2020-01-03,1.3001,516,564,452,496,328,247
2020-01-04,-,-,-,-,-,-,-
2020-01-05,-,-,-,-,-,-,-
2020-01-06,1.2965,516,563,447,492,332,253
2020-01-07,1.3004,513,560,443,492,328,249
2020-01-08,1.3039,489,540,418,465,304,225
2020-01-09,1.3056,489,538,424,462,302,224
2020-01-10,1.3050,485,536,404,447,287,207
2020-01-11,-,-,-,-,-,-,-
2020-01-12,-,-,-,-,-,-,-
2020-01-13,1.3057,477,529,397,440,287,210
2020-01-14,1.3062,478,533,398,440,287,209
2020-01-15,1.3042,474,528,394,431,275,194
2020-01-16,1.3042,480,532,398,444,278,195
2020-01-17,1.3066,481,536,399,446,281,199
2020-01-18,-,-,-,-,-,-,-
2020-01-19,-,-,-,-,-,-,-
2020-01-20,-,-,-,-,-,-,-
2020-01-21,1.3070,480,525,406,450,286,209
2020-01-22,1.3135,468,514,399,440,273,196
2020-01-23,1.3127,458,509,382,425,270,198
2020-01-24,1.3143,447,496,372,416,259,185
2020-01-25,-,-,-,-,-,-,-
2020-01-26,-,-,-,-,-,-,-
2020-01-27,1.3194,441,483,363,406,249,175
2020-01-28,1.3155,443,491,367,410,255,182
2020-01-29,1.3199,443,488,376,412,273,208
2020-01-30,1.3209,433,482,372,404,263,195
2020-01-31,1.3237,429,469,362,394,256,188
,1.3087,473,522,401,443,285,208
