Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada  Select Hardisty,Implied Bitumen  Hardisty
2020-05-01,1.4089,175,208,154,174,124,112
2020-05-02,-,-,-,-,-,-,-
2020-05-03,-,-,-,-,-,-,-
2020-05-04,1.4087,181,219,168,183,145,137
2020-05-05,1.4049,217,250,202,222,175,164
2020-05-06,1.4146,213,245,198,221,172,165
2020-05-07,1.3973,207,239,185,202,153,140
2020-05-08,1.3927,214,251,203,221,184,180
2020-05-09,-,-,-,-,-,-,-
2020-05-10,-,-,-,-,-,-,-
2020-05-11,1.4007,213,245,231,233,191,187
2020-05-12,1.4078,228,241,239,241,204,199
2020-05-13,1.4101,224,247,232,222,188,180
2020-05-14,1.4050,244,266,234,232,207,201
2020-05-15,1.4109,261,280,252,250,189,218
2020-05-16,-,-,-,-,-,-,-
2020-05-17,-,-,-,-,-,-,-
2020-05-18,1.3937,279,301,277,277,205,235
2020-05-19,1.3944,285,293,235,270,202,183
2020-05-20,1.3901,295,303,251,284,209,186
2020-05-21,1.3955,300,308,254,276,216,195
2020-05-22,1.3996,295,304,252,277,217,198
2020-05-23,-,-,-,-,-,-,-
2020-05-24,-,-,-,-,-,-,-
2020-05-25,-,-,-,-,-,-,-
2020-05-26,1.3777,298,308,264,283,227,211
2020-05-27,1.3752,284,287,251,278,217,203
2020-05-28,1.3763,292,303,264,279,226,214
2020-05-29,1.3780,308,317,281,294,244,233
,1.3971,251,271,231,246,195,187
