Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2020-11-02,-,-,-,-,-,-,-
2020-11-02,1.3217,306,316,283,286,229,194
2020-11-03,1.3144,311,324,291,294,239,203
2020-11-04,1.3136,323,333,287,293,240,201
2020-11-05,1.3045,318,327,278,285,235,198
2020-11-06,1.3050,305,319,272,277,230,193
2020-11-07,-,-,-,-,-,-,-
2020-11-08,-,-,-,-,-,-,-
2020-11-09,1.3007,330,337,289,293,247,210
2020-11-10,1.3033,339,354,301,306,259,224
2020-11-11,1.3063,341,354,302,308,261,226
2020-11-12,1.3141,340,352,296,301,255,221
2020-11-13,1.3137,332,347,292,311,266,233
2020-11-14,-,-,-,-,-,-,-
2020-11-15,-,-,-,-,-,-,-
2020-11-16,1.3074,340,355,301,305,262,229
2020-11-17,1.3105,342,353,300,306,265,233
2020-11-18,1.3081,344,356,303,309,251,236
2020-11-19,1.3073,343,356,300,313,251,211
2020-11-20,1.3095,347,365,306,315,253,213
2020-11-21,-,-,-,-,-,-,-
2020-11-22,-,-,-,-,-,-,-
2020-11-23,1.3082,353,372,308,321,258,218
2020-11-24,1.2998,366,386,321,336,272,230
2020-11-25,1.3007,372,394,327,344,283,243
2020-11-26,-,-,-,-,-,-,-
2020-11-27,-,-,-,-,-,-,-
2020-11-28,-,-,-,-,-,-,-
2020-11-29,-,-,-,-,-,-,-
2020-11-30,1.3001,371,386,323,336,276,237
,1.3078,338,352,299,307,254,219
