Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-03-01,1.3297,467,538,431,460,367,334
2019-03-02,-,-,-,-,-,-,-
2019-03-03,-,-,-,-,-,-,-
2019-03-04,1.3303,474,542,440,472,379,349
2019-03-05,1.3350,475,544,439,474,383,354
2019-03-06,1.3442,475,552,439,474,382,353
2019-03-07,1.3455,480,555,439,469,385,354
2019-03-08,1.3416,473,550,432,458,379,348
2019-03-09,-,-,-,-,-,-,-
2019-03-10,-,-,-,-,-,-,-
2019-03-11,1.3394,478,557,438,469,387,359
2019-03-12,1.3354,478,557,437,467,390,364
2019-03-13,1.3302,487,562,449,480,404,380
2019-03-14,1.3335,492,560,449,480,406,380
2019-03-15,1.3336,491,558,446,480,406,383
2019-03-16,-,-,-,-,-,-,-
2019-03-17,-,-,-,-,-,-,-
2019-03-18,1.3334,496,561,451,487,414,391
2019-03-19,1.3320,495,564,450,485,408,384
2019-03-20,1.3305,501,569,456,491,417,400
2019-03-21,1.3364,503,568,458,486,420,403
2019-03-22,1.3429,498,561,452,481,420,403
2019-03-23,-,-,-,-,-,-,-
2019-03-24,-,-,-,-,-,-,-
2019-03-25,1.3404,495,562,452,480,420,404
2019-03-26,1.3381,504,566,462,489,428,412
2019-03-27,1.3409,501,566,460,484,422,403
2019-03-28,1.3438,501,568,462,485,423,404
2019-03-29,1.3349,505,567,465,488,427,408
2019-03-30,-,-,-,-,-,-,-
2019-03-31,-,-,-,-,-,-,-
,1.3367,489,558,448,478,403,380
