date,CL=F,NG=F,GC=F,CADUSD=X,AUDUSD=X,EURUSD=X,CNYUSD=X,MXNUSD=X,JPYUSD=X,GBPUSD=X,KRWUSD=X,wcs_monthly
2022-11-30,80.55000305175781,6.929999828338623,1746.0,0.7361818552017212,0.668408989906311,1.0324499607086182,0.1396765112876892,0.0519966706633567,0.0072074672207236,1.1946860551834106,0.0007545062690041,
2022-12-01,81.22000122070312,6.73799991607666,1801.0999755859375,0.7456009387969971,0.6799598932266235,1.042535424232483,0.1413187831640243,0.0519080087542533,0.0072801932692527,1.207749843597412,0.0007813720731064,47.14
2022-12-02,79.9800033569336,6.281000137329102,1795.9000244140625,0.7442968487739563,0.6811015009880066,1.052842140197754,0.1419708281755447,0.0522785633802413,0.0073991864919662,1.2259259223937988,0.0007673124782741,
2022-12-05,76.93000030517578,5.577000141143799,1767.4000244140625,0.7438262104988098,0.6813009977340698,1.0544185638427734,0.1423710435628891,0.0515916272997856,0.007436326239258,1.2297248840332031,0.0007697221590206,
2022-12-06,74.25,5.468999862670898,1769.300048828125,0.7359434366226196,0.6707807779312134,1.0496923923492432,0.1436595916748047,0.0507063418626785,0.0073178587481379,1.2192445993423462,0.0007666536257602,
2022-12-07,72.01000213623047,5.7230000495910645,1785.5,0.7326329350471497,0.6698821187019348,1.0469011068344116,0.1429612934589386,0.0506216324865818,0.0073053487576544,1.213300704956055,0.000757742265705,
2022-12-08,71.45999908447266,5.961999893188477,1788.699951171875,0.7326543927192688,0.6726998686790466,1.051325798034668,0.1434185206890106,0.0508468523621559,0.0073323999531567,1.2212398052215576,0.0007609770982526,
2022-12-09,71.0199966430664,6.244999885559082,1798.0999755859375,0.735418438911438,0.6776500344276428,1.0559661388397217,0.1435482203960418,0.0509643480181694,0.0073198941536247,1.2236007452011108,0.0007595148053951,
2022-12-12,73.16999816894531,6.586999893188477,1780.5,0.7323163747787476,0.6781408190727234,1.0522217750549316,0.1437483727931976,0.0505390018224716,0.0073146466165781,1.2239153385162354,0.0007673595682717,
2022-12-13,75.38999938964844,6.934999942779541,1813.9000244140625,0.733659565448761,0.6754000186920166,1.0541739463806152,0.1433383524417877,0.0503846891224384,0.0072725159116089,1.2270842790603638,0.0007657436653971,
2022-12-14,77.27999877929688,6.429999828338623,1807.5,0.7377133369445801,0.6842299699783325,1.062665343284607,0.1440216600894928,0.0511717796325683,0.0073755015619099,1.235666275024414,0.0007758072461001,
2022-12-15,76.11000061035156,6.96999979019165,1777.199951171875,0.7379964590072632,0.6857798099517822,1.0676347017288208,0.1438869535923004,0.0509959496557712,0.0073883612640202,1.2419428825378418,0.0007717954576946,
2022-12-16,74.29000091552734,6.599999904632568,1790.0,0.7321608662605286,0.6705918908119202,1.064056158065796,0.1434267610311508,0.0506339371204376,0.0072594750672578,1.2189176082611084,0.0007592437905259,
2022-12-19,75.19000244140625,5.85099983215332,1787.699951171875,0.7305349111557007,0.6687487363815308,1.05850350856781,0.1434288173913955,0.0505129359662532,0.0073158238083124,1.2160272598266602,0.0007640236872248,
2022-12-20,76.08999633789062,5.326000213623047,1815.9000244140625,0.7329766154289246,0.6707807779312134,1.0614584684371948,0.1432952135801315,0.0505366995930671,0.0072995368391275,1.2153326272964478,0.0007684446172788,
2022-12-21,78.29000091552734,5.331999778747559,1815.9000244140625,0.7353265285491943,0.6688498258590698,1.062699317932129,0.1436616480350494,0.0506221465766429,0.0075819608755409,1.2189176082611084,0.0007790346280671,
2022-12-22,77.48999786376953,4.999000072479248,1787.0,0.7346081733703613,0.6716818809509277,1.0610079765319824,0.1432541608810424,0.0508657619357109,0.0075545823201537,1.2077397108078003,0.0007807802758179,
2022-12-23,79.55999755859375,5.078999996185303,1795.9000244140625,0.7333098649978638,0.6678001284599304,1.060333013534546,0.143204927444458,0.0511260516941547,0.0075553241185843,1.203992486000061,0.0007750736549496,
2022-12-27,79.52999877929688,5.2820000648498535,1814.800048828125,0.737626314163208,0.674458920955658,1.064022183418274,0.143653392791748,0.0516447052359581,0.0075321621261537,1.208415389060974,0.0007842337363399,
