date,CL=F,NG=F,GC=F,CADUSD=X,AUDUSD=X,EURUSD=X,CNYUSD=X,MXNUSD=X,JPYUSD=X,GBPUSD=X,KRWUSD=X
1/2/2019,46.540000915527344,2.9579999446868896,1281.0,0.7339233756065369,0.7047911882400513,1.14617121219635,0.14540167152881622,0.05094684660434723,0.009118430316448212,1.2754288911819458,0.0008978272089734674
1/3/2019,47.09000015258789,2.944999933242798,1291.800048828125,0.7336111664772034,0.6918978691101074,1.1318106651306152,0.14574922621250153,0.05100037157535553,0.009307433851063251,1.2521913051605225,0.0008911226177588105
1/4/2019,47.959999084472656,3.0439999103546143,1282.699951171875,0.7419058084487915,0.7006235718727112,1.1391078233718872,0.1455371081829071,0.05100869759917259,0.009275749325752258,1.2628813982009888,0.0008895847713574767
1/7/2019,48.52000045776367,2.944000005722046,1286.800048828125,0.7479823231697083,0.7123776078224182,1.1410444974899292,0.14559431374073029,0.05159452557563782,0.009214721620082855,1.2734960317611694,0.0008973438525572419
1/8/2019,49.779998779296875,2.9670000076293945,1283.199951171875,0.7521058917045593,0.7145919799804688,1.1479737758636475,0.145985409617424,0.05164057016372681,0.009206746704876423,1.278608798980713,0.0008957362733781338
1/9/2019,52.36000061035156,2.9839999675750732,1289.300048828125,0.7548878788948059,0.7163323760032654,1.1456066370010376,0.14593853056430817,0.0517386794090271,0.00919320434331894,1.2737879753112793,0.0008920208201743662
1/10/2019,52.59000015258789,2.9690001010894775,1284.699951171875,0.756916344165802,0.7175660133361816,1.1554949283599854,0.1467222273349762,0.05206733196973801,0.00924308318644762,1.279967188835144,0.0008939186227507889
1/11/2019,51.59000015258789,3.0989999771118164,1287.0999755859375,0.7553440928459167,0.7187005877494812,1.151012897491455,0.1473296582698822,0.05227186530828476,0.009233781136572361,1.2753963470458984,0.0008956158999353647
1/14/2019,50.5099983215332,3.5910000801086426,1289.0999755859375,0.75372713804245,0.7205129861831665,1.146013617515564,0.14788523316383362,0.05224960297346115,0.00922015868127346,1.2849836349487305,0.0008939746185205877
1/15/2019,52.11000061035156,3.500999927520752,1286.199951171875,0.7532332539558411,0.7199423909187317,1.1472889184951782,0.14777378737926483,0.052704811096191406,0.00923787523061037,1.2874983549118042,0.000891265575774014
1/16/2019,52.310001373291016,3.384000062942505,1291.5999755859375,0.7541705369949341,0.7207674384117126,1.1416828632354736,0.14812619984149933,0.05271058902144432,0.009204373694956303,1.2872166633605957,0.0008909479365684092
1/17/2019,52.06999969482422,3.4130001068115234,1291.0,0.7542217373847961,0.7173087000846863,1.1398088932037354,0.1480165719985962,0.0529630184173584,0.00917119812220335,1.2885768413543701,0.0008938387618400156
1/18/2019,53.79999923706055,3.4820001125335693,1281.300048828125,0.7530007362365723,0.7190313339233398,1.13926362991333,0.14759275317192078,0.05264432728290558,0.009161451831459999,1.2983977794647217,0.0008924188441596925
1/22/2019,52.56999969482422,3.0399999618530273,1282.5,0.752162516117096,0.7158913612365723,1.136932134628296,0.1471172422170639,0.0522269569337368,0.009118263609707355,1.2891747951507568,0.0008831035811454058
1/23/2019,52.619998931884766,2.9800000190734863,1283.0999755859375,0.7487271428108215,0.7122101187705994,1.1364023685455322,0.14690759778022766,0.052212778478860855,0.009144528768956661,1.2957731485366821,0.0008848382858559489
1/24/2019,53.130001068115234,3.0989999771118164,1279.0999755859375,0.7495633959770203,0.714796245098114,1.1388224363327026,0.14725372195243835,0.05256932973861694,0.00913308747112751,1.308215618133545,0.0008886282448656857
1/25/2019,53.689998626708984,3.177999973297119,1297.4000244140625,0.7490355968475342,0.7091192603111267,1.1313496828079224,0.1473274827003479,0.05259476229548454,0.009124337695538998,1.3121638298034668,0.0008875083294697106
1/28/2019,51.9900016784668,2.9110000133514404,1302.4000244140625,0.7563723921775818,0.7179421186447144,1.1413049697875977,0.14822719991207123,0.05266248434782028,0.009140768088400364,1.3208470344543457,0.0008944463916122913
1/29/2019,53.310001373291016,2.950000047683716,1308.199951171875,0.7541307210922241,0.7165992856025696,1.143000841140747,0.14827336370944977,0.052527766674757004,0.00915298331528902,1.3160146474838257,0.0008930963813327253
1/30/2019,54.22999954223633,2.8540000915527344,1309.9000244140625,0.7535000443458557,0.7159220576286316,1.1435366868972778,0.14854426681995392,0.052381087094545364,0.009139347821474075,1.30804443359375,0.0008945583831518888
1/31/2019,53.790000915527344,2.813999891281128,1319.699951171875,0.7609770894050598,0.7254682779312134,1.1487650871276855,0.14890924096107483,0.05234155058860779,0.009175911545753479,1.3117163181304932,0.0009017132688313723
2/1/2019,55.2599983215332,2.7339999675750732,1316.9000244140625,0.761852502822876,0.7271669507026672,1.1449507474899292,0.14925818145275116,0.0523749440908432,0.009187460877001286,1.3109424114227295,0.0008996446267701685
2/4/2019,54.560001373291016,2.6600000858306885,1314.300048828125,0.7634170055389404,0.7249003052711487,1.1455278396606445,0.14828434586524963,0.05239168182015419,0.0091375932097435,1.3077365159988403,0.0008942143758758903
2/5/2019,53.65999984741211,2.6619999408721924,1314.199951171875,0.7623984813690186,0.7214018106460571,1.1436283588409424,0.14828434586524963,0.052369456738233566,0.009094133041799068,1.3031013011932373,0.0008919811225496233
2/6/2019,54.0099983215332,2.6619999408721924,1309.5,0.7619628310203552,0.7243752479553223,1.140992522239685,0.1484825164079666,0.052564073354005814,0.00909578800201416,1.2957228422164917,0.0008938947576098144
2/7/2019,52.63999938964844,2.5510001182556152,1309.4000244140625,0.7568303942680359,0.7109948396682739,1.1365960836410522,0.14828434586524963,0.05233081430196762,0.009093058295547962,1.2934435606002808,0.0008915595826692879
