Date,CL=F,BZ=F,GC=F,COP=X,BRL=X,MXN=X,DX-Y.NYB
2019-01-02,46.540000915527344,54.90999984741211,1281.0,3245.0,3.8798999786376953,19.628299713134766,96.81999969482422
2019-01-03,47.09000015258789,55.95000076293945,1291.800048828125,3235.0,3.78629994392395,19.60770034790039,96.30999755859375
2019-01-04,47.959999084472656,57.060001373291016,1282.699951171875,3243.0,3.7551000118255615,19.60449981689453,96.19000244140625
2019-01-07,48.52000045776367,57.33000183105469,1286.800048828125,3191.0,3.6612000465393066,19.381900787353516,95.70999908447266
2019-01-08,49.779998779296875,58.720001220703125,1283.199951171875,3179.0,3.734100103378296,19.364620208740234,95.9000015258789
2019-01-09,52.36000061035156,61.439998626708984,1289.300048828125,3160.300048828125,3.712399959564209,19.327899932861328,95.22000122070312
2019-01-10,52.59000015258789,61.68000030517578,1284.699951171875,3132.5,3.680000066757202,19.205900192260742,95.54000091552734
2019-01-11,51.59000015258789,60.47999954223633,1287.0999755859375,3135.0,3.707900047302246,19.13075065612793,95.66999816894531
2019-01-14,50.5099983215332,58.9900016784668,1289.0999755859375,3145.199951171875,3.659600019454956,19.138900756835938,95.58999633789062
2019-01-15,52.11000061035156,60.63999938964844,1286.199951171875,3137.0,3.697499990463257,18.973600387573242,95.97000122070312
2019-01-16,52.310001373291016,61.31999969482422,1291.5999755859375,3130.0,3.716399908065796,18.971519470214844,96.05999755859375
2019-01-17,52.06999969482422,61.18000030517578,1291.0,3115.0,3.734299898147583,18.881099700927734,96.06999969482422
2019-01-18,53.79999923706055,62.70000076293945,1281.300048828125,3130.0,3.7488999366760254,18.995399475097656,96.33999633789062
2019-01-22,52.56999969482422,61.5,1282.5,3124.300048828125,3.7513999938964844,19.147199630737305,96.30000305175781
2019-01-23,52.619998931884766,61.13999938964844,1283.0999755859375,3134.60009765625,3.812000036239624,19.15239906311035,96.12000274658203
2019-01-24,53.130001068115234,61.09000015258789,1279.0999755859375,3149.0,3.7623000144958496,19.022499084472656,96.5999984741211
2019-01-25,53.689998626708984,61.63999938964844,1297.4000244140625,3169.0,3.7697999477386475,19.0132999420166,95.79000091552734
2019-01-28,51.9900016784668,59.93000030517578,1302.4000244140625,3112.10009765625,3.7695999145507812,18.988849639892578,95.75
2019-01-29,53.310001373291016,61.31999969482422,1308.199951171875,3155.0,3.7595999240875244,19.03754997253418,95.81999969482422
2019-01-30,54.22999954223633,61.650001525878906,1309.9000244140625,3159.5,3.7184998989105225,19.09086036682129,95.33999633789062
2019-01-31,53.790000915527344,61.88999938964844,1319.699951171875,3161.0,3.6814000606536865,19.10527992248535,95.58000183105469
2019-02-01,55.2599983215332,61.869998931884766,1316.9000244140625,3131.10009765625,3.6428000926971436,19.09309959411621,95.58000183105469
2019-02-04,54.560001373291016,62.5099983215332,1314.300048828125,3087.0,3.6572999954223633,19.086999893188477,95.8499984741211
2019-02-05,53.65999984741211,61.97999954223633,1314.199951171875,3085.0,3.6670000553131104,19.09510040283203,96.0999984741211
2019-02-06,54.0099983215332,62.689998626708984,1309.5,3048.0,3.668299913406372,19.02440071105957,96.41999816894531
2019-02-07,52.63999938964844,61.630001068115234,1309.4000244140625,3104.0,3.694700002670288,19.10919952392578,96.51000213623047
2019-02-08,52.720001220703125,62.099998474121094,1313.699951171875,3115.0,3.714900016784668,19.074180603027344,96.63999938964844
2019-02-11,52.40999984741211,61.5099983215332,1307.0,3074.699951171875,3.728600025177002,19.072370529174805,97.05999755859375
2019-02-12,53.099998474121094,62.41999816894531,1309.199951171875,3136.0,3.755199909210205,19.288400650024414,96.70999908447266
2019-02-13,53.900001525878906,63.61000061035156,1310.800048828125,3124.0,3.7079999446868896,19.242700576782227,97.12999725341797
2019-02-14,54.40999984741211,64.56999969482422,1309.800048828125,3135.0,3.753200054168701,19.413799285888672,96.9800033569336
2019-02-15,55.59000015258789,66.25,1318.0999755859375,3149.0,3.7219998836517334,19.258459091186523,96.91999816894531
2019-02-19,56.09000015258789,66.44999694824219,1340.0999755859375,3129.699951171875,3.7316999435424805,19.243200302124023,96.5199966430664
2019-02-20,56.91999816894531,67.08000183105469,1343.300048828125,3114.0,3.7219998836517334,19.14109992980957,96.44999694824219
2019-02-21,56.959999084472656,67.06999969482422,1323.5,3109.0,3.7239999771118164,19.218170166015625,96.61000061035156
2019-02-22,57.2599983215332,67.12000274658203,1329.199951171875,3122.0,3.7664999961853027,19.274200439453125,96.51000213623047
2019-02-25,55.47999954223633,64.76000213623047,1325.9000244140625,3079.0,3.746299982070923,19.128599166870117,96.41000366210938
2019-02-26,55.5,65.20999908447266,1325.0999755859375,3097.60009765625,3.7504000663757324,19.121000289916992,96.0
2019-02-27,56.939998626708984,66.38999938964844,1317.699951171875,3079.0,3.7471001148223877,19.18501091003418,96.1500015258789
2019-02-28,57.220001220703125,66.02999877929688,1312.800048828125,3069.0,3.727299928665161,19.16448974609375,96.16000366210938
2019-03-01,55.79999923706055,65.06999969482422,1296.4000244140625,3080.0,3.747499942779541,19.262699127197266,96.52999877929688
2019-03-04,56.59000015258789,65.66999816894531,1284.800048828125,3094.0,3.721400022506714,19.265199661254883,96.68000030517578
2019-03-05,56.560001373291016,65.86000061035156,1282.0,3091.199951171875,3.7741000652313232,19.293420791625977,96.8499984741211
2019-03-06,56.220001220703125,65.98999786376953,1284.9000244140625,3095.0,3.774399995803833,19.257400512695312,96.87000274658203
2019-03-07,56.65999984741211,66.30000305175781,1283.800048828125,3103.699951171875,3.8368000984191895,19.349199295043945,97.66999816894531
